职位名称,公司,部门,工作地点,学历要求,工作年限,岗位层级,岗位描述,岗位要求,招聘人数,HR,发布日期,更新日期,有效日期,职位状态,职位链接
阿里妈妈-高阶储备-杭州/北京,,淘天集团-阿里妈妈,中国-浙江-杭州,本科,七年以上,P8,,,1,应佳健(蕴哲),,2026 - 02 - 25,2026 - 04 - 19,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260225aead4e92d60e4aa89954e740b21a25e2&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
平头哥-数字电路版图设计专家-深圳,,阿里集团-平头哥,中国-广东-深圳,本科,三年以上,P6,"1.负责独立完成标准单元电路包括逻辑门和触发器电路的版图设计。
2.配合电路工程师完成Memory的子模块和顶层的布局布线和版图设计。
3.根据foundry提供的design rule完成DRC/LVS/DFM等检查。
4.优化版图减少寄生RC，并完成EMIR的修改。","1.微电子、计算机、电子工程及相关专业本科以上学历。
2.三年以上版图设计经验，熟悉CMOS工艺制程。
3.熟悉Cadence，Synopsys、Mentor等主流版图设计工具。
4.有Finfet和先进工艺相关版图经验的优先。
5.工作认真负责、有较强的上进心，具备良好的团队精神及沟通能力。",3,姚梦舸,,2026 - 02 - 25,2026 - 04 - 21,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026022547e728fafee34f3c914a24c6254f9cf8&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
钉钉-市场营销（AI方向）- 用户增长,,阿里集团-钉钉,中国-浙江-杭州,本科,三年以上,P6,"作为AI时代下钉钉组织增长负责人，深入洞察国内外市场中各行业、各规模段企业的实际需求，科学定义并持续优化钉钉拉新增长路径。
熟悉主流流量平台规则（如抖音、百度、视频号等），具备B端增长实战经验，能独立制定可落地、可衡量的增长策略，切实推动钉钉用户规模与市场份额稳步提升。
作为跨部门协同枢纽，高效联动产品、运营、研发、BI等团队，共建闭环数据监测体系，确保拉新用户高质量留存与长期价值转化。","本科及以上学历；
具备3年及以上市场营销或相关领域工作经验，拥有从创意策划、策略制定到执行落地的完整项目操盘经验；
对AI技术有热情与好奇心，善于探索并实践AI驱动的创新增长方法；
良好的沟通、协作能力、执行力、抗压力；",1,王姝雅(零曦),,2026 - 02 - 25,2026 - 05 - 24,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026022563eeb8745ef844aaa58cc53db1cfeef7&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里健康-生态合作专家（学协会）-杭州,,阿里健康-医生平台,中国-浙江-杭州,本科,五年以上,JK-I4,"1.面向医生推广医生平台（如医教研相关AI工具），为医生注册、活跃、留存等运营指标负责。
2.拓展中华医学会等学协会的合作资源，联合打造创新的医生端推广专项，借此推广上述医生工具。参与各类学术年会，通过展台/物料等宣传产品。
3.洞察不同学协会的个性化需求，梳理并完善与学协会的谈判方案；通过较强的谈判能力最大化学协会合作的产出
4.负责各类学术合作项目的落地执行，基于科学的项目管理方法，优化流程提高效率，最大化项目的产出","1.有诸如中华医学会等学协会资源
2.有丰富的大型医生侧项目执行经验，并能沉淀成方法论
3.有较强的谈判能力、需求洞察和共赢意识
4.较好的项目管理能力，能够与内外多方团队高效协作，推动复杂项目落地",2,曾柳(羽墨),,2026 - 02 - 24,2026 - 04 - 30,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260113cc40eba375e743e4bfd28c68c0b911c7&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
钉钉-钉钉智能硬件供应链专家（成本控制方向）-智能硬件,,阿里集团-钉钉,中国-浙江-杭州,本科,三年以上,P7,"1、紧扣“控、判、谈、推”四维能力，构建钉钉智能硬件全生命周期成本管理体系；
2、深度研判全球电子元器件行情，预判风险并制定应对策略；
3、主导高难度商务谈判，驱动实质性降本落地；
4、系统性推进降本项目，让成本优化可衡量、可复制、可持续，牵头成立跨部门“钉钉硬件降本攻坚小组”（研发、品质、计划、工厂）。","1、5年以上智能硬件/消费电子行业采购或成本工程工作经验，至少3年专注在芯片、模组、关键电子元器件等高价值、高波动性物料领域；
2、成功主导过5个以上BOM成本优化项目，累计实现年度降本金额≥1000万元（需在面试中提供具体案例与数据证明）；
3、行情雷达：精通电子元器件产业链结构，熟悉主流芯片厂商，对半导体周期、晶圆厂产能、封测价格、国产替代进展有敏锐判断力，能独立撰写专业行情分析报告；
4、谈判高手：具备极强的心理素质与博弈能力，擅长运用数据、替代方案、长期合作价值等多维度施压与共赢设计；
5、对成本数据极度敏感，坚持“无数据不决策、无对比不谈判、无闭环不结案”。",1,王姝雅(零曦),,2026 - 02 - 14,2026 - 05 - 13,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202602148697ed6296c14059ad4286ba55df2800&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
钉钉-钉钉智能硬件供应链专家（生产制造与质量保障方向）-智能硬件方向,,阿里集团-钉钉,中国-浙江-杭州,本科,三年以上,P7,"1、紧扣“产、供、质”三位一体，主导智能硬件生产制造体系搭建与持续优化；
2、筑牢供应链韧性，保障关键物料与整机稳定供应；
3、驱动跨职能协同，协调销售，采购、仓储、物流等环节，保障供应链高效运转。","1、5年以上智能硬件（消费电子/企业级IoT/音视频终端等）领域供应链管理工作经验，至少全程主导过2个以上量产规模超10万台的硬件项目；
2、精通从NPI导入、试产爬坡、量产交付到生命周期管理的全链条，熟悉PCBA、结构件、整机组装等关键制程与常见失效模式；
3、具备扎实的质量管理功底，熟练运用APQP、FMEA、SPC、MSA等工具，持有ISO9001内审员或六西格玛绿带认证者优先；
4、逻辑清晰，具备数据驱动的思维，能够通过数据分析支持决策。",1,王姝雅(零曦),,2026 - 02 - 14,2026 - 05 - 13,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202602143dca29ba81ac4e1389a2e093dbdee745&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里健康-线下零售商品规划-杭州/广州,,阿里健康-健康自营事业部,"中国-浙江-杭州,中国-广东-广州",本科,五年以上,JK-I5,"1、根据公司发展战略，依据线下药品零售目标迭代药品品类规划；
2、建立集采&地采药品目录，高效整合药品货盘，进一步提升采运协同完成协议续签；
3、制定控制采购成本的策略，负责年度框架的制定，保证利益最大化；
4、负责协调类目在供应链端的管控政策。","1、全日制本科及以上学历，5年以上医药行业相关采购及管理工作经验；
2、有药品渠道及品牌方资源，具备良好的市场敏锐度、开拓能力与谈判沟通能力；
3、具备较强的横向协同能力，有大型电商系统大数据分析经验者优先考虑。",1,鲁天天(天阿),,2026 - 02 - 24,2026 - 05 - 24,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260204594a0db186bd418aafc19f477a6bece4&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里健康-临床医学专家-杭州,,阿里健康-医生平台,中国-浙江-杭州,本科,五年以上,JK-I5,"负责为AI医疗大模型构建专业临床循证标准与医生生态体系。核心职责包括：
1.从0到1搭建医学专家网络，建立运营标准，sop和运营机制
2.按科室，病种，站在临床，科研医生的视角，围绕临床科研场景与医学产品，算法一起制定迭代数据，内容，问答，搜索，agent的评价标准，构建行业领先的评测集，医学专业内容库
3.平衡物质奖励与学术价值，提升医生参与度","1、头部三甲医院临床内科相关科室主治，副主任医生背景，在临床理论和实操有丰富的理解和经验；有非常好的循证医学和临床思维；
2.参与过互联网医疗平台或医学工具面向医生群体服务或产品的运营经验，有很好的用户需求理解，洞察和总结能力
3. 对AI和大模型感兴趣，有通过大模型工具解决自己临床，科研或医学问题的经验，学习能力强
3、需具备出色的医生沟通管理和资源整合能力，能管理和运营专家团队",1,曾柳(羽墨),,2026 - 02 - 06,2026 - 03 - 30,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER202601132eb18ab5d3b74a06ac9734b705f502a4&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
钉钉-商业化运营 - AI 搜问方向-杭州,,阿里集团-钉钉,中国-浙江-杭州,本科,三年以上,P7,"1. 商品运营策略搭建：深度洞察ToB市场需求、行业竞争格局及客户业务痛点，制定AI产品商业化定位、定价策略、套餐组合方案及生命周期管理计划，优化商品矩阵结构，提升产品市场竞争力与客户付费转化率。

2. GTM体系落地执行：牵头构建AI产品ToB市场进入策略（GTM），涵盖目标行业筛选、客户分层运营、渠道合作模式设计、销售工具包搭建（含产品白皮书、解决方案案例、演示脚本等），推动产品快速渗透目标市场。

3. 商业化变现增长：负责AI产品付费转化、续费续约及增购扩购全流程运营，设计客户激活、留存、价值提升的运营体系，通过数据监测与分析（如客户付费率、ARPU值、续费率等），迭代运营策略，实现营收持续增长。

4. 跨部门协同推进：联动产品、销售、市场、技术等团队，传递客户需求与市场反馈，推动产品功能优化与迭代；配合销售团队开展客户赋能、标杆案例打造及行业解决方案落地，提升销售转化效率。

5. 市场与竞品分析：持续跟踪AIToB领域行业动态、政策变化及竞品商业化策略，输出竞品分析报告与市场机会洞察，为公司商品策略调整、GTM优化及商业化决策提供数据支持。","1. 工作经验：3-5年ToB领域商业化运营相关经验，具备AI产品（如AI SaaS、AI解决方案等）商业化变现运营经验者优先；熟悉ToB客户采购流程、决策链及商业合作模式。

2. 核心能力：

◦ 精通商品运营全流程，具备成熟的产品定价、套餐设计、生命周期管理实战经验，能基于市场需求快速迭代商品策略；

◦ 深入理解GTM方法论，有完整的ToB产品市场进入、渠道拓展、客户渗透的项目落地经验，能独立搭建GTM执行体系；

◦ 具备敏锐的市场洞察力与数据驱动思维，能通过数据分析发现商业机会、优化运营动作，提升商业化效率；

◦ 优秀的跨部门沟通协调能力与项目管理能力，能推动多方资源协同，确保商业化目标达成。

3. 学历背景：本科及以上学历，市场营销、工商管理、计算机相关专业优先。

4. 其他要求：具备强烈的目标感与结果导向，抗压能力强；对AI行业有浓厚兴趣，愿意持续学习行业新知识、新技能。",1,王姝雅(零曦),,2026 - 02 - 03,2026 - 05 - 01,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER20260203664240279d4f41358a365a98ef92eb33&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
阿里健康-渠道运营主管-杭州,,阿里健康-健康自营事业部,中国-浙江-杭州,本科,八年以上,JK-I5,"1、负责阿里健康自营业务在福利社、闪购等平台B2C店铺的运营工作，包括但不限于运营计划，销售策略，品类规划和营销活动，为整体项目销售及利润结果负责；
2、根据平台消费者网购行为特征以及对市场、行业（品牌结构，销售模式，利润结构，市场规模，跨境政策等）和竞争对手的了解，分析消费者购买需求，并制定相应的解决方案和落地计划；同时对现有的运营机制进行优化，提高运营效能，降低运营成本，提升消费者体验；
3、围绕项目发展方向和现状，负责与内部相关团队的沟通和协作，优化提升项目整体链路，提高效能；","1、本科学历及以上，8年以上互联网电商运营或店铺、品类运营的工作经验，熟悉天猫、JD及美团，以及有医药保健行业运营经验者优先；
2、需有较强的市场挖掘能力、团队协作能力、执行能力和沟通能力；
3、电商运营实操能力强，有较强的产品化逻辑思维；
4、具备良好的学习能力，心态积极，进取心强，愿意接受挑战，适应力能力强，以结果为导向，能承受忙碌、繁重、较大心里压力的工作。",1,鲁天天(天阿),,2026 - 02 - 24,2026 - 05 - 24,招募中,https://headhunter.alibaba.com/?__navId=FORM-EF6Y4G8WO2-IGEHBI2MSW6TD31JQ8DP2-3G9R1UXI-2&orderCode=ODER2026020367b8e50bdc8d49248fc23731cb7a235b&navId=FORM-EF6YOZ1WO2-W5XG5D93V1MBSEPU7TXN1-P5R5G5XI-0
